Media Source,Sentence,Date,Type,"Contained ""massacre""","Contained ""horrific""","Contained ""slaughter"""
LAT,"the horrific violence in the mideast has, of course, spurred responses from those in the public eye, including those in the world of entertainment.",10/23/2023,News,0,1,0
LAT,"at around 11 p.m., the bombing began. we were on the second floor. it was like something out of a movie — the windows had no curtains so we could see — and it was horrific: the whole sky turned to fire and the ground shook.",11/5/2023,News,0,1,0
LAT,"“we went through three horrific wars in the space of six years,” silver said in a 2017 interview with the associated press. “at the end of the third one, i said: ‘no more. we each have to do whatever we can to stop the next war. and it’s possible. we must reach a diplomatic agreement.’”",11/14/2023,News,0,1,0
wapo,"mitzner added that “in the last couple weeks, with the horrific incidents in the middle east, we’ve been getting a lot of requests — for not just help in applying and accessing existing funds, but also what we can do to get more available.” many schools want to hire more security, which tends to be the most expensive safety-related cost, he said. leaders are also considering upgrades such as new surveillance cameras, alarm systems and blast-proof doors and windows.",10/21/2023,News,0,1,0
wapo,"“we are seeing a diversity of attacks, which range from noncriminal incidents all the way to threats, assaults, vandalism and bomb threats,” levin said. “if we continue seeing these horrific images coming out of the holy land, we are going to see an even greater spike, not only in hate crimes, but also in much more violent types of plots, if history teaches us anything.”",10/30/2023,News,0,1,0
wapo,"the company’s statement touted the importance of breaking news photography and said it verifies the authenticity of such photos before publishing them. “the role of the ap is to gather information on breaking news events around the world, wherever they happen, even when those events are horrific and cause mass casualties,” the organization said.",11/9/2023,News,0,1,0
wapo,"armed settlers began roaming through the small bedouin community of wadi siq nearly every day after oct. 7, threatening palestinians with a massacre if they refused to leave, according to tariq mustafa, who fled the area to a neighboring village with his family.",10/30/2023,News,1,0,0
LAT,"shibli’s uk publisher, jacques testard of fitzcarraldo writes, “one of the purposes of literature is to encourage understanding and dialogue between cultures. at a time of such horrific violence and heartbreak, the world’s biggest book fair has a duty to champion literary voices from palestine and israel. we stand in solidarity with adania shibli and her german publishers, berenberg verlag.”",10/16/2023,News,0,1,0
LAT,"jacques testard, head of shibli’s u.k. publisher, fitzcarraldo editions, invoked the broader context of literature in the open letter. “one of the purposes of literature is to encourage understanding and dialogue between cultures,” he said in the open letter. “at a time of such horrific violence and heartbreak, the world’s biggest book fair has a duty to champion literary voices from palestine and israel. we stand in solidarity with adania shibli and her german publishers, berenberg verlag.”",10/16/2023,News,0,1,0
LAT,"“war is not fair to the innocent people. it’s terrible,” she added. “we’re trying to explain all of this as best we can in a very balanced manner. and no matter what, it’s all horrific.”",10/28/2023,News,0,1,0
wapo,"macron’s appearances coincided with a busy — and tense day — of international diplomacy as the u.n. security council met tuesday in new york. secretary of state antony blinken said the unfolding crisis vividly underscored the need for “an enduring solution” that leads to peace, which washington and many allies believe must include a recognized palestinian state alongside israel. “the only way to break out of this horrific cycle of violence is through two states,” blinken told the security council, adding that “we have no illusions about how hard” it will be to achieve.",10/24/2023,News,0,1,0
LAT,"“wadea is a child and he is not the only one under attack,” he said, adding many “children are being slaughtered literally in the holy land, unfortunately, which is very sad.”",10/16/2023,News,0,0,1
NYT,"the world’s most high-profile arab athlete, the liverpool and egypt soccer star mohamed salah, has called on global leaders to “come together to prevent further slaughter of all innocent souls,” asking for humanitarian aid to be allowed into gaza and describing the rising toll of the war as “unbearable to witness.” the intervention is unusual for salah, 31, who has sought to retain a relatively low profile even as he has become one of the most recognizable, and successful, figures in european soccer. ",10/18/2023,News,0,0,1
wapo,breaking: american jews and allies have now blocked 4+ doors to the white house. we’re prepared to put our bodies in the way of more slaughter — we’re ready to stay here until biden forces a ceasefire. pic.twitter.com/slcipuijrs,10/16/2023,News,0,0,1
NYT,"one israeli security official called the attack a massacre. the death toll has continued to rise over the past day, with some of the most gruesome stories emerging from survivors of the festival.",10/8/2023,News,1,0,0
LAT,"gaza’s hamas-run health ministry said the death toll among palestinians has passed 8,000 — most of them civilians. it’s a toll without precedent in decades of israeli-palestinian violence, and it is expected to climb even more rapidly as israel presses its ground offensive. more than 1,400 people died inside israel, mainly civilians killed during the initial hamas massacres.",10/9/2023,News,1,0,0
LAT,"the militants’ attack stunned israel with a death toll unseen since the 1973 war with egypt and syria — and those deaths happened over a longer period of time. it brought horrific scenes of hamas militants gunning down civilians in their homes, on streets and at a mass outdoor music festival, while dragging men, women and children into captivity.",10/10/2023,News,0,1,0
wapo,"the death toll amid israel’s devastating campaign against the islamist group hamas in gaza is soaring. more than two weeks after hamas militants orchestrated their appalling strike on southern israel, killing more than 1,400 people in a slaughter unprecedented in israeli history, israeli bombing and raids have killed at least 5,087 palestinians in gaza, including more than 2,000 children, according to local authorities. those numbers are bound to rise as israel ramps up its offensive.",10/24/2023,News,0,0,1
NYT,"kirby, pushing back against criticism of president biden’s comments casting doubt on the palestinian death toll and acknowledging that civilian casualties were inevitable, says that his comments were no more harsh than hamas using palestinians as “human shields” or “slaughtering a bunch of young people just trying to enjoy an afternoon” in israel.",10/26/2023,News,0,0,1
LAT,"gaza’s hamas-run health ministry said the death toll among palestinians has passed 8,000 — most of them civilians. it’s a toll without precedent in decades of israeli-palestinian violence, and it is expected to climb even more rapidly as israel presses its ground offensive. more than 1,400 people died inside israel, also an unprecedented figure, mainly civilians killed during the initial hamas massacres. ",10/29/2023,News,1,0,0
LAT,"the palestinian death toll in the israel-hamas war has reached 9,448, according to the hamas-run health ministry in gaza. in israel, more than 1,400 people have been killed, most of them in the oct. 7 hamas massacres of civilians in southern israel that started the war.",11/4/2023,News,1,0,0
