Media Source,Date,Headline,link,Type (News/Editorial)
NYT,11/4/2023,Journalists get a glimpse inside Israel’s invasion as battles go on.,https://nytimes.com/live/2023/11/04/world/israel-hamas-war-news-gaza/journalists-get-a-glimpse-inside-israels-invasion-of-gaza,News
wapo,10/19/2023,"Journalists killed in the Israel-Gaza war: A look at the lives lostJennifer Hassan, Niha Masih and Ellen Francis • November 21, 2023",https://www.washingtonpost.com/world/2023/10/19/journalists-killed-israel-gaza-war/,News
wapo,10/13/2023,"Reuters journalist killed in southern Lebanon by Israeli strike, colleagues sayKareem Fahim • October 13, 2023",https://www.washingtonpost.com/world/2023/10/13/israel-gaza-war-lebanon-journalists/,News
wapo,11/21/2023,"Israeli strikes in Lebanon kill 2 journalists, Hamas operative in new escalationLiz Sly, Sarah Dadouch and Mohamad El Chamaa • November 22, 2023",https://www.washingtonpost.com/world/2023/11/21/israel-lebanon-escalation-hamas/,News
wapo,11/8/2023,"For Gaza’s journalists, war coverage and personal grief are one storyKareem Fahim, Hajar Harb and Mohamad El Chamaa • November 8, 2023",https://www.washingtonpost.com/world/2023/11/08/gaza-journalists-killed-israel-war/,News
wapo,10/9/2023,"News networks ‘scrambling’ to get journalists to IsraelJeremy Barr • October 9, 2023",https://www.washingtonpost.com/style/media/2023/10/09/journalists-israel-hamas-coverage-danger/,News
NYT,11/17/2023,Times Reporters Got a Rare Glimpse of Gaza’s Largest Hospital,https://nytimes.com/2023/11/17/briefing/israel-hamas-hospital-openai-sam-altman.html,News
NYT,11/10/2023,A New York Reporter With a New Perspective,https://nytimes.com/2023/11/10/insider/kathy-hochul-israel-trip-reporter.html,News
NYT,11/3/2023,Remembering Food’s Punk-Rock Moment and More: The Week in Reporter Reads,https://nytimes.com/2023/11/03/podcasts/momofuku-israel-maine.html,News
wapo,11/19/2023,"Houthis take Israeli-linked vessel; Post reporter surveys devastated GazaNiha Masih, Rachel Pannett, Leo Sands, Annabelle Timsit and Ben Brasch • November 19, 2023",https://www.washingtonpost.com/world/2023/11/19/israel-hamas-war-gaza-news-palestine/,News
NYT,10/30/2023,War Through the Eyes of Gaza’s Children,Video,News
NYT,11/24/2023,Israel issues guidelines for how to receive freed child hostages.,https://nytimes.com/live/2023/11/24/world/israel-hamas-hostage-release-gaza-war/israel-issues-guidelines-for-how-to-receive-freed-child-hostages,News
wapo,10/27/2023,"Analysis | The brutal logic of tying colorful pieces of string around children’s wrists in GazaIshaan Tharoor • October 26, 2023",https://www.washingtonpost.com/world/2023/10/27/gaza-palestinians-displaced-humanitarian-siege/,News
wapo,11/10/2023,"Friday briefing: Israel-Gaza war pauses; Joe Manchin; childhood vaccines; government shutdown deadline; Titanic auction; and moreHannah Jewell and Jamie Ross • November 10, 2023",https://www.washingtonpost.com/the-seven/2023/11/10/what-to-know-for-november-10/,News
LAT,10/9/2023,Ex-Israeli soccer player Lior Asulin among more than 260 killed by Hamas at rave,https://www.latimes.com/sports/story/2023-10-09/lior-asulin-killed-israeli-soccer-player-hamas-music-festival,News
LAT,11/14/2023,Renowned Canadian-born Israeli peace activist confirmed killed in Hamas attack,https://www.latimes.com/world-nation/story/2023-11-14/canadian-israeli-peace-activist-vivian-silver-killed-hamas,News
LAT,11/5/2023,Nepalese cremate loved ones who died in earthquake that killed 157,https://www.latimes.com/world-nation/story/2023-11-05/nepal-villagers-cremate-loved-ones-who-perished-in-earthquake-that-shook-its-northwest-killing-157,News
LAT,10/16/2023," Mourners in heavily Palestinian Chicago suburb remember Muslim boy killed as kind, energetic ",https://www.latimes.com/world-nation/story/2023-10-16/6-year-old-boy-is-buried-mother-treated-after-attack-that-police-call-an-anti-muslim-hate-crime,News
LAT,11/5/2023,Hamas militants destroyed the kibbutz; these SoCal residents mourn and help rebuild,https://www.latimes.com/california/story/2023-11-05/socal-residents-rebuilding-kibbutz,News
LAT,10/9/2023,She was away when Hamas militants invaded her kibbutz and kidnapped her family,https://www.latimes.com/world-nation/story/2023-10-09/she-was-away-when-hamas-militants-invaded-her-kibbutz-and-kidnapped-her-family,News
LAT,10/30/2023," A young Israeli festival-goer's death is confirmed, shining light on families' long ordeal ",https://www.latimes.com/world-nation/story/2023-10-30/la-fg-israel-hamas-festival-death,News
LAT,," LA Times Today: A young Israeli festival-goer’s death is confirmed, shining light on families’ long ordeal ",https://www.latimes.com/world-nation/0000018b-95f2-d8b6-a9bb-9ffbadd80000-123,News
LAT,11/24/2023," First group of hostages held in Gaza by Hamas released, Israeli media and officials say  ",https://www.latimes.com/world-nation/story/2023-11-24/israel-hamas-hostage-prisoner-release-gaza-cease-fire,News
LAT,11/24/2023,News Analysis: A temporary cease-fire in the Israel-Hamas war does little to solve deep dilemmas on all sides,https://www.latimes.com/world-nation/story/2023-11-24/a-temporary-ceasefire-in-the-israel-hamas-war-does-little-to-solve-deep-dilemmas-on-all-sides,News
LAT,11/24/2023,A family in Thailand awaits word on hostages in Gaza,https://www.latimes.com/world-nation/story/2023-11-24/a-family-in-thailand-awaits-word-on-hostages-in-gaza,News
LAT,11/23/2023," Four-day truce begins in Gaza, setting stage for release of hostages ",https://www.latimes.com/world-nation/story/2023-11-23/gaza-cease-fire-hostage-release-expected-friday,News
LAT,11/23/2023,Police in Germany raid properties of Hamas supporters across the country,https://www.latimes.com/world-nation/story/2023-11-23/german-police-raid-properties-hamas-supporters,News
LAT,11/22/2023,Pope stirs controversy with words as he meets relatives of Israeli hostages and Palestinians from Gaza,https://www.latimes.com/world-nation/story/2023-11-22/pope-meets-relatives-israeli-hostages-palestinian-prisoners,News
LAT,11/22/2023," Hamas hostage release delayed, Israel says; relief groups seek longer truce in Gaza ",https://www.latimes.com/world-nation/story/2023-11-22/humanitarians-want-more-aid-for-gaza-access-to-hostages-under-israel-hamas-truce-and-more-time,News
LAT,11/22/2023," This small, Latino city took a public stance in support of Palestinians. Will others follow? ",https://www.latimes.com/delos/story/2023-11-22/cudahy-palestine-city-council-resolution,News
LAT,11/21/2023,Pro-Palestinian marches are far more frequent than pro-Israeli ones. How U.S. reaction to the Israel-Hamas war has changed,https://www.latimes.com/world-nation/story/2023-11-21/pro-palestinian-israeli-protests,News
LAT,11/21/2023,UTA drops actor Susan Sarandon after comments at pro-Palestinian rally amid Israel-Hamas war,https://www.latimes.com/entertainment-arts/business/story/2023-11-21/uta-susan-sarandon-tensions-israel-hamas,News
LAT,11/21/2023,Front line in Gaza shifts to crowded refugee camp as Israeli troops battle Hamas militants,https://www.latimes.com/world-nation/story/2023-11-21/israel-hamas-battle-jabaliya-gaza,News
LAT,11/21/2023," 14 essential books for understanding the Israel-Hamas war, according to experts ",https://www.latimes.com/entertainment-arts/books/story/2023-11-21/israel-hamas-war-gaza-14-essential-books-to-read,News
LAT,11/21/2023," Israel, Hamas agree to temporary cease-fire to free 50 hostages ",https://www.latimes.com/world-nation/story/2023-11-21/israel-hamas-agree-to-temporary-ceasefire-to-free-numerous-hostages,News
LAT,11/21/2023,They fled Ukraine for safety in Israel. Now they're living with yet another war,https://www.latimes.com/world-nation/story/2023-11-21/ukrainian-refugees-fled-to-israel-another-war,News
LAT,11/21/2023,Melissa Barrera dropped from 'Scream VII' after pro-Palestinian posts,https://www.latimes.com/delos/story/2023-11-21/melissa-barrera-dropped-from-scream-vii,News
LAT,11/20/2023,Babies evacuated to Egypt as Israeli forces battle Hamas around another Gaza hospital,https://www.latimes.com/world-nation/story/2023-11-20/israel-hamas-war-fighting-second-gaza-hospital,News
LAT,11/20/2023," 'I want to protect them. But I cannot.' In Gaza, a father tries to shield his kids from falling bombs ",https://www.latimes.com/world-nation/story/2023-11-20/israel-gaza-palestinian-bomb-children,News
LAT,11/19/2023," Yemen's Houthi rebels hijack Israeli-linked ship in Red Sea, raising fears of wider Mideast war  ",https://www.latimes.com/world-nation/story/2023-11-19/yemens-houthi-rebels-hijack-an-israeli-linked-ship-in-the-red-sea-raising-fears-of-wider-mideast-war-that-israel-hamas-war-will-spread,News
LAT,11/19/2023," Democrats are split on Israel and the race for Feinstein's Senate seat, as 2024 looms ",https://www.latimes.com/california/story/2023-11-19/at-convention-california-democrats-are-divided-on-senate-candidates-and-israel,News
